	TopicalFocus	Date	Name	Volume/Issue	DOI/link	txt	pdf	Date_ann	Name_ann	Primary_Coder	A_dominant_frame	B_dominant_frame	C_dominant_frame	D_dominant_frame	E_dominant_frame	F_dominant_frame	G_dominant_frame	H_dominant_frame	A_other_frames	B_other_frames	C_other_frames	D_other_frames	E_other_frames	F_other_frames	G_other_frames	H_other_frames	Global	Urgent	Policy	Quotes?	Maud_comments	Mike_comments	Sam_comments	Noam_comments	Labels_dominant	Labels_other
0	Nature	1969	On which side are the angels	224	10.1038/2241241a0	2241241a0.txt	2241241a0.pdf	1969	On which side are the angels	Noam							1										0	0	0						G_dominant_frame	
1	Nature	1970	Pollution is always with us	225	10.1038/225885a0	225885a0.txt	225885a0.pdf	1970	Pollution is always with us	Sam						1										1	0	0	0	Yes, lovely anecdote					F_dominant_frame	H_other_frames
2	Nature	1970	Towards a better apocalypse	227	10.1038/227646a0	227646a0.txt	227646a0.pdf	1970	Towards a better apocalypse	Noam							1							1			0	0	0	Yes - negativistic framing					G_dominant_frame	F_other_frames
3	Nature	1971	The great greenhouse scare	229	10.1038/229514a0	229514a0.txt	229514a0.pdf	1971	The great greenhouse scare	Mike							1										0	0	0	Yes - so sanguine		so sanguine, there is no challenge at all!		-1 ?	G_dominant_frame	
4	Nature	1971	Weather watching	230	10.1038/230419a0	230419a0.txt	230419a0.pdf	1971	Weather watching	Maud							1										0	0	0	"Skeptic view. Need to research long terms effects rather than focusing on details like CO2 ""the return of the ice would be worse"""					G_dominant_frame	
5	Nature	1972	Catastrophe or change?	235	10.1038/235184a0	235184a0.txt	235184a0.pdf	1972	Catastrophe or change	Sam								1									0	0	0	Yes			CC is only referenced implicitly but the article is quite important I think in setting up Nature's conviction and publishing strategy so I think it should be retained		H_dominant_frame	
6	Nature	1972	What will the UN do?	237	10.1038/237302a0	237302a0.txt	237302a0.pdf	1972	What will the UN do	Noam						1											1	0	1						F_dominant_frame	
7	Nature	1973	Measured sense on pollution	241	10.1038/241489a0	241489a0.txt	241489a0.pdf	1973	Measured sense on pollution	Maud	1												1				0	0	0						A_dominant_frame	E_other_frames
8	Nature	1973	Nuclear fusion or the sun god?	243	10.1038/243485a0	243485a0.txt	243485a0.pdf	1973	Nuclear fusion or the sun god	Mike					1												0	0	0					-1?	E_dominant_frame	
9	Nature	1976	Better treaty is worth waiting for	259	10.1038/259517a0	259517a0.txt	259517a0.pdf	1976	Better treaty is worth waiting for	Maud			1									1					1	0	1				Remove. Mike would agree to remove.  It's tricky because this is an important 70s topic, but it's hard to say climate modification is a CC challenge; it's just listed as part of a warfare convention.	Agree with Sam. Remove	C_dominant_frame	D_other_frames
10	Nature	1978	Coping with energy's nastry surprises	271	10.1038/271695a0	271695a0.txt	271695a0.pdf	1978	Coping with energy's nastry surprise	Sam					1												0	0	0	Yes, nice quotes on energy					E_dominant_frame	
11	Nature	1979	Carter's energy message	280	10.1038/280179a0	280179a0.txt	280179a0.pdf	1979	Carter's energy message	Sam					1												0	0	0			I think this one *could* be kept, since it sees the CO2 problem in terms of energy technology/policy	It simply says that CC will have to take a backseat to energy policies so I'm not sure it can be categorised as an energy framing of CC	Could be kept. Not sure if it should though	E_dominant_frame	
12	Nature	1979	Costs and benefits of carbon	279	10.1038/279001a0	279001a0.txt	279001a0.pdf	1979	Costs and benefits of carbon	Maud							1						1				0	0	0	Argues from more interdisciplinarity (broadening research beyond climate science)					G_dominant_frame	E_other_frames
13	Nature	1982	Ice age or melt-down?	295	10.1038/295178a0	295178a0.txt	295178a0.pdf	1982	Ice age or melt-down	Noam							1									1	0	0	0						G_dominant_frame	H_other_frames
14	Nature	1983	Greenhouse research	305	10.1038/305750a0	305750a0.txt	305750a0.pdf	1983	Greenhouse research	Maud							1										0	0	0						G_dominant_frame	
15	Nature	1986	Planning globally	319	10.1038/319708a0	319708a0.txt	319708a0.pdf	1986	Planning globally	Sam							1										1	0	0						G_dominant_frame	
16	Nature	1986	Towards a global understanding	323	10.1038/323189a0	323189a0.txt	323189a0.pdf	1986	Towards a global understanding	Maud							1							1			1	0	1						G_dominant_frame	F_other_frames
17	Nature	1986	Towards a mild nuclear winter?	323	10.1038/323095a0	323095a0.txt	323095a0.pdf	1986	Towards a mild nuclear winter	Mike			1												1		1	0	0			All about nuclear winter - but is this what we mean by CC?  Mike is happy to keep this.	Keep, on the basis of the programme providing a baseline for other man-made influences on climate (i.e. does frame a broader CC challenge for science). Which as we know is important in the history of CC modelling.	Not sure we should keep this in the corpus - no mention of anthropogenic CC	C_dominant_frame	G_other_frames
18	Nature	1986	Where next with the greenhouse?	321	10.1038/321713a0	321713a0.txt	321713a0.pdf	1986	Where next with the greenhouse	Noam						1									1		1	0	0						F_dominant_frame	G_other_frames
19	Nature	1987	Defining half a global problem	327	10.1038/327001a0	327001a0.txt	327001a0.pdf	1987	Defining half a global problem	Sam						1				1							1	0	0				This is political because climate change is considered to be a challenge for legal instruments even though poverty/development represents a significant issue		F_dominant_frame	B_other_frames
20	Nature	1988	How to tackle global calamity	335	10.1038/335191a0	335191a0.txt	335191a0.pdf	1988	How to tackle global calamity	Sam						1				1	1						1	0	0	Yes, about security			Although security is key to the article, climate change is more framed in terms of a question of population control and government, which I think is F		F_dominant_frame	B_other_frames/C_other_frames
21	Nature	1988	Summer heat fires policy hares	334	10.1038/334457a0	334457a0.txt	334457a0.pdf	1988	Summer heat fires policy hares	Mike						1									1		0	0	0	Yes, about attribution					F_dominant_frame	G_other_frames
22	Nature	1988	When to cherish white elephants	332	10.1038/332097a0	332097a0.txt	332097a0.pdf	1988	When to cherish white elephants	Maud					1										1		0	0	1						E_dominant_frame	G_other_frames
23	Nature	1988	Where the world stands on ozone	332	10.1038/332291a0	332291a0.txt	332291a0.pdf	1988	where the world stands on ozone	Noam						1											0	0	0			Agreed - keep this one	Keep, as it clearly frames the paper in terms of the need to develop a similar kind of convention if CO2 emissions become a problem	Keep because of mention of CO2 at the end	F_dominant_frame	
24	Nature	1988	Environment and the public's purses	333	10.1038/333381a0	333381a0.txt	333381a0.pdf	1988	environment and the public's	Mike	1									1			1		1		1	0	0						A_dominant_frame	B_other_frames/E_other_frames/G_other_frames
25	Nature	1988	Has Mrs Thatcher turned green?	335	10.1038/335479a0	335479a0.txt	335479a0.pdf	1988	Has Mrs Thatcher turned green	Maud						1											1	0	1						F_dominant_frame	
26	Nature	1989	All greens now	338	10.1038/338188a0	338188a0.txt	338188a0.pdf	1989	All greens now	Sam	1												1				0	0	0	Yes, costs of the envt					A_dominant_frame	E_other_frames
27	Nature	1989	Convictions on ozone	338	10.1038/338100a0	338100a0.txt	338100a0.pdf	1989	Convictions on ozone	Mike						1											1	0	0						F_dominant_frame	
28	Nature	1989	Green politics make more trouble	340	10.1038/340489a0	340489a0.txt	340489a0.pdf	1989	Green politics make more trouble	Sam	1									1							0	0	0				Article really on why Thatcher is taking on CC (and envt) to gain votes, but without considering the implications (cost, development)		A_dominant_frame	B_other_frames
29	Nature	1989	Political greenhouse	339	10.1038/339002a0	339002a0.txt	339002a0.pdf	1989	Political greenhouse	Maud					1									1			1	0	0						E_dominant_frame	F_other_frames
